,SK_ID_CURR,CREDIT_ACTIVE,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE
140,444864,Closed,-1872,0,-1568.0,-1549.0,0,49936.5,0.0,0.0,0.0,Consumer credit,-801
141,444864,Closed,-2030,0,31111.0,-1750.0,0,85050.0,0.0,0.0,0.0,Credit card,-555
142,444864,Closed,-1776,0,-680.0,-712.0,0,157500.0,0.0,0.0,0.0,Consumer credit,-188
143,444864,Closed,-1124,0,-881.0,-881.0,0,82795.5,0.0,,0.0,Consumer credit,-876
150,253882,Active,-758,0,1095.0,,0,315000.0,54895.5,,0.0,Credit card,0
152,253882,Closed,-770,0,-467.0,-467.0,0,50301.0,0.0,0.0,0.0,Consumer credit,-463
153,335122,Closed,-1189,0,-109.0,-874.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-860
157,335122,Closed,-2740,0,-2434.0,-2496.0,0,54000.0,0.0,0.0,0.0,Consumer credit,-2494
159,406724,Closed,-1293,0,-1155.0,-1155.0,0,13500.0,0.0,0.0,0.0,Credit card,-775
160,406724,Closed,-1433,0,-1251.0,-1245.0,0,23067.0,0.0,0.0,0.0,Consumer credit,-783
162,406724,Active,-167,0,1298.0,,0,606496.995,574827.21,0.0,0.0,Consumer credit,-5
165,389074,Closed,-1049,0,-378.0,-378.0,0,113496.885,0.0,0.0,0.0,Consumer credit,-372
169,373324,Closed,-1439,0,-1134.0,-1123.0,0,60399.0,0.0,0.0,0.0,Consumer credit,-775
170,373324,Active,-577,0,521.0,,0,225000.0,45324.0,0.0,0.0,Credit card,-25
176,373324,Closed,-986,0,-805.0,-740.0,0,68850.0,,,0.0,Consumer credit,-738
183,166034,Closed,-1283,0,-1069.0,-1083.0,0,19399.5,0.0,0.0,0.0,Consumer credit,-1068
185,166034,Active,-828,0,916.0,,0,4500.0,0.0,4500.0,0.0,Credit card,-676
190,166034,Closed,-612,0,-245.0,-207.0,0,178335.0,0.0,0.0,0.0,Consumer credit,-206
192,399459,Active,-49,0,316.0,,0,24763.5,22968.0,0.0,0.0,Consumer credit,-19
196,173404,Closed,-1165,0,-860.0,-915.0,0,107037.0,0.0,0.0,0.0,Consumer credit,-825
197,280788,Active,-221,0,875.0,,0,220675.5,,,0.0,Consumer credit,-30
199,280788,Active,-728,0,2.0,,0,112500.0,5926.5,0.0,0.0,Consumer credit,-27
206,312983,Closed,-1278,0,,-244.0,0,66780.0,0.0,0.0,0.0,Credit card,-211
208,272136,Active,-220,0,1241.0,,0,225000.0,207594.0,0.0,0.0,Consumer credit,-25
209,415899,Closed,-496,0,-131.0,-130.0,0,229050.0,0.0,0.0,0.0,Consumer credit,-26
212,451241,Closed,-2309,0,-1183.0,-1212.0,0,517500.0,0.0,0.0,0.0,Consumer credit,-1212
214,451241,Closed,-1010,0,-766.0,-980.0,0,75825.0,0.0,0.0,0.0,Consumer credit,-978
216,451241,Active,-1321,0,,,0,0.0,0.0,0.0,0.0,Credit card,-228
223,383257,Active,-140,0,,,0,90000.0,,,0.0,Credit card,-135
226,435368,Closed,-2335,0,-2121.0,-2150.0,0,23363.1,0.0,0.0,0.0,Consumer credit,-2150
230,435368,Closed,-369,0,-339.0,-314.0,0,145890.0,,,0.0,Consumer credit,-307
235,227903,Closed,-1930,0,-1838.0,-987.0,0,109138.5,,,0.0,Consumer credit,-984
236,228777,Closed,-2264,0,-1153.0,-1479.0,0,337500.0,-15.255,337515.255,0.0,Credit card,-1202
237,228777,Closed,-1419,0,-657.0,-687.0,0,481320.0,0.0,0.0,0.0,Consumer credit,-687
240,228777,Closed,-1057,0,404.0,-323.0,0,423000.0,0.0,0.0,0.0,Consumer credit,-291
241,228777,Active,-1144,0,31081.0,,0,225000.0,0.0,0.0,0.0,Credit card,-41
242,228777,Closed,-1298,0,-290.0,-232.0,0,0.0,0.0,0.0,0.0,Credit card,-229
247,228777,Active,-46,0,319.0,,0,203760.0,203760.0,0.0,0.0,Consumer credit,-24
260,416951,Closed,-1623,0,-1439.0,-1439.0,0,54540.0,0.0,0.0,0.0,Consumer credit,-1439
266,148089,Active,-1475,0,-1110.0,,0,52650.0,5427.0,0.0,0.0,Consumer credit,-1118
268,390784,Active,-1537,0,-57.0,,0,0.0,0.0,,0.0,Credit card,-608
270,390784,Active,-636,0,,,0,45000.0,31072.5,0.0,0.0,Credit card,-21
273,346919,Closed,-2287,0,-1738.0,-2000.0,0,135000.0,0.0,0.0,0.0,Consumer credit,-538
274,346919,Active,-194,0,1069.0,,0,45000.0,0.0,0.0,0.0,Credit card,-18
275,346919,Closed,-318,0,47.0,-109.0,0,81000.0,0.0,0.0,0.0,Consumer credit,-90
276,346919,Closed,-1296,0,-1204.0,-1204.0,0,18652.5,0.0,0.0,0.0,Consumer credit,-687
279,346919,Closed,-1977,0,-1247.0,-1635.0,0,157500.0,0.0,0.0,0.0,Consumer credit,-538
280,346919,Closed,-1602,0,224.0,-1106.0,0,135000.0,0.0,0.0,0.0,Consumer credit,-17
281,346919,Active,-699,0,,,0,78230.34,0.0,78230.34,0.0,Credit card,-29
284,233234,Closed,-1435,0,-340.0,-340.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-337
286,233234,Closed,-360,0,370.0,-32.0,0,229500.0,,,0.0,Consumer credit,-30
296,198319,Active,-1378,0,448.0,,0,1350000.0,494782.65,0.0,0.0,Consumer credit,-36
299,333498,Active,-1314,0,-757.0,,0,4500.0,0.0,4500.0,0.0,Credit card,-674
304,333498,Closed,-2321,0,-2138.0,-2168.0,0,105763.5,0.0,0.0,0.0,Consumer credit,-2168
307,152965,Closed,-2738,0,-2342.0,-2357.0,0,43403.4,0.0,0.0,0.0,Consumer credit,-2343
309,152965,Closed,-400,0,-344.0,-148.0,0,72000.0,0.0,0.0,0.0,Credit card,-145
310,152965,Active,-249,0,1577.0,,0,1953000.0,1828957.5,0.0,0.0,Consumer credit,-31
311,152965,Closed,-2163,0,-1838.0,-987.0,0,46575.0,,,0.0,Consumer credit,-984
313,346232,Active,-2714,0,-1610.0,,0,225000.0,0.0,0.0,0.0,Credit card,-674
316,348530,Closed,-347,0,18.0,-269.0,0,99000.0,0.0,,0.0,Consumer credit,-269
317,348530,Active,-317,0,,,0,90000.0,,,0.0,Credit card,-121
326,271160,Closed,-2231,0,-1488.0,-992.0,0,101250.0,,,0.0,Credit card,-991
327,271160,Closed,-2317,0,-1105.0,-1105.0,0,18000.0,0.0,0.0,0.0,Credit card,-1076
335,259670,Closed,-712,0,-563.0,-545.0,0,48496.5,,,0.0,Consumer credit,-537
339,354574,Closed,-2428,0,-2336.0,-2336.0,0,17779.5,0.0,0.0,0.0,Consumer credit,-2336
340,354574,Closed,-899,0,-534.0,-564.0,0,114444.0,0.0,0.0,0.0,Consumer credit,-564
344,450549,Closed,-2238,0,-2026.0,-2026.0,0,132390.0,0.0,0.0,0.0,Consumer credit,-1508
346,450549,Active,-1133,0,,,0,1080000.0,982822.5,97176.375,0.0,Credit card,-6
348,251360,Closed,-1300,0,2353.0,-139.0,0,495000.0,0.0,0.0,0.0,Credit card,-106
349,251360,Closed,-814,0,-84.0,-646.0,0,247500.0,0.0,0.0,0.0,Consumer credit,-645
350,251360,Active,-140,0,,,0,495000.0,466434.81,28565.19,0.0,Credit card,-29
351,262765,Closed,-2395,0,-2181.0,-2210.0,0,17361.99,0.0,0.0,0.0,Consumer credit,-2210
352,262765,Active,-1441,0,-361.0,,0,54000.0,0.0,67500.0,0.0,Credit card,-511
353,262765,Closed,-1441,0,-1107.0,-1134.0,0,76544.55,0.0,0.0,0.0,Consumer credit,-1106
359,374159,Closed,-1482,0,-746.0,-746.0,0,479250.0,0.0,0.0,0.0,Consumer credit,-737
360,456062,Closed,-1036,0,-670.0,-770.0,0,216913.5,0.0,0.0,0.0,Consumer credit,-768
366,282297,Closed,-789,0,-424.0,-516.0,0,139860.0,0.0,0.0,0.0,Consumer credit,-513
369,282297,Active,-158,0,573.0,,0,466200.0,435573.0,0.0,0.0,Consumer credit,-67
371,282297,Active,-1797,0,-1053.0,,0,225000.0,115592.4,0.0,0.0,Credit card,-1424
372,282297,Closed,-49,0,316.0,-39.0,0,650335.5,,,0.0,Car loan,-39
375,331446,Closed,-497,0,-132.0,-131.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-127
379,159650,Closed,-781,0,-51.0,-55.0,0,234000.0,0.0,0.0,0.0,Consumer credit,-25
380,273814,Active,-392,0,152.0,,0,181013.085,158924.25,0.0,0.0,Consumer credit,-235
381,273814,Closed,-751,0,-567.0,-567.0,0,44950.5,0.0,0.0,0.0,Consumer credit,-566
382,273814,Closed,-508,0,-326.0,-300.0,0,51840.0,,,0.0,Consumer credit,-286
383,273814,Closed,-186,0,,-118.0,0,1935000.0,,,0.0,Mortgage,-111
384,273814,Active,-1075,0,4387.0,,0,5355000.0,,,0.0,Mortgage,-42
385,192645,Active,-166,0,923.0,,0,67500.0,0.0,,0.0,Credit card,-49
386,132745,Closed,-2789,0,-2575.0,-2603.0,0,34266.78,0.0,0.0,0.0,Consumer credit,-2603
388,132745,Closed,-224,0,141.0,-193.0,0,113040.0,0.0,0.0,0.0,Consumer credit,-190
394,256578,Closed,-2377,0,-2163.0,-2192.0,0,28562.67,0.0,0.0,0.0,Consumer credit,-2192
396,256578,Active,-489,0,-367.0,,0,18247.68,0.0,0.0,0.0,Consumer credit,-486
398,256578,Active,-111,0,1715.0,,0,166500.0,163197.0,0.0,0.0,Consumer credit,-8
400,414912,Closed,-2910,0,-1792.0,-476.0,0,180000.0,0.0,0.0,0.0,Credit card,-476
401,414912,Closed,-1165,0,-952.0,-1010.0,0,24057.54,0.0,0.0,0.0,Consumer credit,-1010
412,414912,Closed,-784,0,-675.0,-675.0,0,30620.79,0.0,0.0,0.0,Consumer credit,-673
417,391685,Active,-446,0,6859.0,,0,5850000.0,5685700.5,0.0,0.0,Mortgage,-28
421,317276,Active,-417,0,678.0,,0,1980000.0,1206418.5,0.0,0.0,Car loan,-9
423,115001,Closed,-704,0,-339.0,-339.0,0,112500.0,0.0,0.0,0.0,Consumer credit,-307
425,115001,Active,-174,0,922.0,,0,585000.0,521973.0,0.0,0.0,Consumer credit,-8
426,115001,Closed,-1323,0,-1265.0,-987.0,0,95107.5,,,0.0,Consumer credit,-984
429,115001,Closed,-339,0,-311.0,-311.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-311
435,233056,Closed,-1005,0,-580.0,-606.0,0,94409.145,0.0,0.0,0.0,Consumer credit,-606
438,233056,Closed,-1381,0,-1200.0,-1197.0,0,22053.24,0.0,0.0,0.0,Consumer credit,-1197
443,346739,Closed,-546,0,-374.0,-374.0,0,91372.5,,,0.0,Consumer credit,-374
445,221642,Active,-217,0,1610.0,,0,270000.0,,,0.0,Consumer credit,-12
452,205426,Closed,-2653,0,-2348.0,-2345.0,0,32755.5,,,0.0,Consumer credit,-2340
453,205426,Closed,-2282,0,-2098.0,-2098.0,0,22977.0,,,0.0,Consumer credit,-2095
454,205426,Active,-289,0,71.0,,0,51066.0,19557.0,0.0,0.0,Consumer credit,-22
458,432545,Closed,-2250,0,-1885.0,-1930.0,0,157500.0,0.0,0.0,0.0,Consumer credit,-824
459,432545,Closed,-509,0,-264.0,-413.0,0,94050.0,0.0,0.0,0.0,Consumer credit,-411
460,432545,Active,-80,0,1746.0,,0,1287000.0,1253182.5,0.0,0.0,Consumer credit,-15
464,118247,Closed,-1463,0,-1138.0,-1138.0,0,134496.0,,,0.0,Consumer credit,-1132
467,118247,Active,-642,0,,,0,90000.0,0.0,90000.0,0.0,Credit card,-22
468,118247,Active,-484,0,,,0,55586.16,0.0,55586.16,0.0,Credit card,-22
469,166350,Closed,-2293,0,-2107.0,-2019.0,0,19098.0,0.0,0.0,0.0,Consumer credit,-2016
471,166350,Closed,-854,0,-538.0,-538.0,0,119565.0,0.0,,0.0,Consumer credit,-530
473,388014,Active,-1089,0,-392.0,,0,0.0,0.0,0.0,0.0,Credit card,-694
475,388014,Closed,-724,0,-420.0,-511.0,0,86310.0,0.0,,0.0,Consumer credit,-498
477,388014,Active,-726,0,,,0,292500.0,171040.5,121455.36,0.0,Credit card,-22
480,388014,Closed,-71,0,113.0,-10.0,0,57060.0,0.0,0.0,0.0,Consumer credit,-7
483,189122,Active,-325,0,1039.0,,0,90000.0,0.0,0.0,0.0,Credit card,-59
489,166358,Closed,-1377,0,-1217.0,-1309.0,0,77197.5,0.0,0.0,0.0,Consumer credit,-1309
490,166358,Closed,-1042,0,-767.0,-767.0,0,151402.5,0.0,0.0,0.0,Consumer credit,-767
491,166358,Active,-784,0,-419.0,,0,184815.0,0.0,0.0,0.0,Consumer credit,-104
492,166358,Closed,-598,0,-234.0,-217.0,0,71239.5,0.0,0.0,0.0,Consumer credit,-217
498,157200,Active,-447,0,,,0,90000.0,81702.0,8298.0,0.0,Credit card,-12
502,142568,Closed,-1610,0,-1306.0,-1306.0,0,109048.5,0.0,0.0,0.0,Consumer credit,-1306
508,356727,Closed,-2324,0,-2141.0,-2140.0,0,76729.5,,,0.0,Consumer credit,-2136
510,356727,Active,-49,0,,,0,144000.0,143213.625,786.375,0.0,Credit card,-36
513,250551,Closed,-1164,0,-980.0,-980.0,0,45450.0,0.0,0.0,0.0,Consumer credit,-979
515,224915,Active,-244,0,31111.0,,0,90000.0,10755.0,0.0,0.0,Credit card,-239
516,224915,Active,-244,0,,,0,0.0,73215.45,0.0,0.0,Credit card,-81
517,323674,Closed,-386,0,-88.0,-272.0,0,0.0,0.0,0.0,0.0,Credit card,-207
521,122858,Closed,-895,0,,-353.0,0,0.0,0.0,0.0,0.0,Credit card,-287
524,212939,Active,-627,0,674.0,,0,157500.0,146542.5,0.0,0.0,Credit card,-87
525,212939,Closed,-643,0,-278.0,-308.0,0,40455.0,0.0,0.0,0.0,Consumer credit,-308
528,307734,Closed,-668,0,427.0,-392.0,0,189720.0,0.0,0.0,0.0,Consumer credit,-381
533,307734,Closed,-1929,0,-1558.0,-1558.0,0,58500.0,0.0,,0.0,Consumer credit,-1558
534,307734,Active,-125,0,1707.0,,0,51750.0,17523.0,,0.0,Credit card,-5
535,307734,Closed,-1896,0,12850.0,-358.0,0,49500.0,,,0.0,Credit card,-235
536,307734,Closed,-916,0,-186.0,-186.0,0,180000.0,0.0,0.0,0.0,Consumer credit,-186
539,161678,Closed,-1553,0,-1337.0,-1337.0,0,23467.5,0.0,,0.0,Consumer credit,-1128
545,281436,Active,-90,0,1736.0,,0,531000.0,507780.0,0.0,0.0,Consumer credit,-56
547,371200,Active,-348,0,3304.0,,0,3915000.0,3753585.0,0.0,0.0,Mortgage,-21
554,309299,Closed,-1208,0,619.0,-819.0,0,1800000.0,0.0,,0.0,Consumer credit,-818
555,323982,Closed,-1474,0,-378.0,-377.0,0,1430190.0,0.0,0.0,0.0,Consumer credit,-328
557,369526,Closed,-2595,0,-768.0,-941.0,0,450000.0,0.0,0.0,0.0,Consumer credit,-129
562,283548,Closed,-590,0,140.0,-41.0,0,84492.0,0.0,0.0,0.0,Consumer credit,-39
563,443948,Active,-273,0,823.0,,0,569160.0,484929.0,0.0,0.0,Consumer credit,-56
564,443948,Closed,-2092,0,-1735.0,-987.0,0,60840.0,,,0.0,Consumer credit,-984
567,417740,Closed,-2711,0,,-873.0,0,0.0,0.0,0.0,0.0,Credit card,-828
570,388317,Closed,-278,0,828.0,-209.0,0,1162309.5,0.0,,0.0,Car loan,-197
575,310813,Closed,-1670,0,-1456.0,-1484.0,0,30559.68,0.0,0.0,0.0,Consumer credit,-1484
578,416471,Closed,-1609,0,-1333.0,-1147.0,0,64800.0,0.0,,0.0,Consumer credit,-1147
583,271124,Closed,-566,0,-202.0,-173.0,0,81099.0,,,0.0,Consumer credit,-167
584,271124,Closed,-280,0,-98.0,-75.0,0,142515.0,,,0.0,Consumer credit,-69
585,271124,Active,-2156,0,-1406.0,,0,45000.0,,,0.0,Credit card,-6
586,205808,Closed,-2650,0,-2253.0,-2282.0,0,15885.9,0.0,0.0,0.0,Consumer credit,-2273
587,205808,Active,-2524,0,-1406.0,,0,45000.0,0.0,0.0,0.0,Credit card,-668
592,205808,Active,-256,0,49.0,,0,25830.0,5575.5,0.0,0.0,Consumer credit,-11
594,400520,Closed,-1346,0,-1012.0,-1195.0,0,337500.0,0.0,0.0,0.0,Consumer credit,-1091
596,400520,Active,-661,0,69.0,,0,466200.0,114394.5,0.0,0.0,Consumer credit,-59
606,314239,Closed,-852,0,-669.0,-669.0,0,26973.0,0.0,,0.0,Consumer credit,-666
608,172376,Active,-594,0,-229.0,,0,132317.55,0.0,0.0,0.0,Consumer credit,-591
610,172376,Closed,-672,0,-307.0,-307.0,0,41040.0,0.0,0.0,0.0,Consumer credit,-279
611,172376,Closed,-1043,0,-860.0,-860.0,0,72634.5,0.0,0.0,0.0,Consumer credit,-728
612,172376,Closed,-1603,0,-1298.0,-1285.0,0,39105.0,0.0,0.0,0.0,Consumer credit,-762
614,172376,Active,-409,0,1029.0,,0,225000.0,204327.0,0.0,0.0,Credit card,-66
617,172376,Closed,-60,0,1766.0,-19.0,0,2488639.5,2488639.5,,0.0,Car loan,-12
618,172376,Closed,-1602,0,-1298.0,-1298.0,0,39105.0,0.0,0.0,0.0,Consumer credit,-1285
623,172376,Closed,-728,0,-546.0,-546.0,0,58455.0,0.0,0.0,0.0,Consumer credit,-540
626,253382,Closed,-1637,0,-906.0,-905.0,0,147996.0,31540.5,,0.0,Consumer credit,-606
629,253382,Closed,-1431,0,-700.0,-698.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-698
631,295483,Active,-117,0,979.0,,0,148500.0,142326.0,0.0,0.0,Consumer credit,-40
645,251484,Active,-1147,0,-493.0,,0,4500.0,-27.63,4527.63,0.0,Credit card,-660
647,251484,Active,-606,0,-272.0,,0,56313.0,0.0,0.0,0.0,Consumer credit,-595
648,251484,Closed,-2526,0,-1428.0,-1392.0,0,189832.5,0.0,0.0,0.0,Consumer credit,-1379
651,251484,Closed,-1091,0,9838.0,-989.0,0,110250.0,,,0.0,Credit card,-989
653,356271,Active,-320,0,,,0,319500.0,17104.5,302393.25,0.0,Credit card,-22
654,249072,Closed,-2828,0,-2616.0,-2645.0,0,43008.93,0.0,0.0,0.0,Consumer credit,-2645
655,249072,Active,-2415,0,-1344.0,,0,135000.0,-688.86,135688.86,0.0,Credit card,-651
660,249072,Closed,-1743,0,-1405.0,-1375.0,0,50436.0,0.0,0.0,0.0,Consumer credit,-779
665,377562,Closed,-2359,0,-2182.0,-966.0,0,52272.0,,,0.0,Consumer credit,-963
667,377562,Closed,-451,0,2167.0,-42.0,0,5400000.0,,,0.0,Mortgage,-42
670,203465,Closed,-2129,0,-1733.0,-1762.0,0,45867.42,0.0,0.0,0.0,Consumer credit,-1021
672,203465,Active,-1180,0,-53.0,,0,291159.0,13365.0,0.0,0.0,Consumer credit,-661
674,203465,Active,-177,0,1649.0,,0,324000.0,307476.0,0.0,0.0,Consumer credit,-10
683,223895,Active,-465,0,695.0,,0,90000.0,0.0,0.0,0.0,Credit card,-53
684,223895,Closed,-1090,0,-907.0,-906.0,0,65268.0,0.0,0.0,0.0,Consumer credit,-906
685,223895,Active,-476,0,72.0,,0,369720.0,71437.5,0.0,0.0,Consumer credit,-11
695,119452,Closed,-2251,0,-425.0,-704.0,0,1278486.0,0.0,,0.0,Car loan,-704
696,119452,Active,-1620,0,572.0,,0,1017450.0,1015285.5,,0.0,Credit card,-6
697,119452,Closed,-260,0,-114.0,-114.0,0,267795.0,0.0,0.0,0.0,Consumer credit,-113
698,119452,Active,-114,0,982.0,,0,1377000.0,1305963.0,0.0,0.0,Consumer credit,-15
701,432127,Closed,-2518,0,-2305.0,-2364.0,0,32021.19,0.0,0.0,0.0,Consumer credit,-2364
707,291159,Active,-1519,0,5786.0,,0,6750000.0,1778854.5,0.0,0.0,Mortgage,-69
718,431472,Closed,-2214,0,-1850.0,-1862.0,0,67500.0,0.0,,0.0,Credit card,-1862
720,431472,Closed,-1766,0,-1462.0,-1462.0,0,57375.0,0.0,,0.0,Consumer credit,-1462
729,420236,Closed,-1087,0,-782.0,-993.0,0,105295.5,0.0,0.0,0.0,Consumer credit,-993
731,420236,Active,-329,0,36.0,,0,91620.0,24300.0,0.0,0.0,Consumer credit,-40
733,420236,Closed,-1331,0,-1210.0,-1211.0,0,21730.5,0.0,,0.0,Consumer credit,-1210
737,420236,Closed,-1573,0,-1481.0,-1481.0,0,11380.5,0.0,0.0,0.0,Consumer credit,-1480
739,381062,Closed,-1048,0,-866.0,-864.0,0,66780.0,0.0,0.0,0.0,Consumer credit,-781
740,381062,Closed,-1319,0,-1141.0,-1141.0,0,60718.5,0.0,0.0,0.0,Consumer credit,-1138
743,194572,Closed,-871,0,-506.0,-401.0,0,0.0,0.0,0.0,0.0,Credit card,-396
747,342165,Closed,-1293,0,-561.0,-561.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-479
751,342165,Active,-190,0,906.0,,0,689247.0,,,0.0,Consumer credit,-31
752,232982,Closed,-1809,0,-1475.0,-1503.0,0,48551.4,0.0,,0.0,Consumer credit,-745
754,327043,Closed,-66,0,-50.0,-54.0,0,9000.0,0.0,0.0,0.0,Consumer credit,-53
761,327043,Closed,-38,0,-22.0,-5.0,0,4500.0,0.0,,0.0,Microloan,-4
762,327043,Closed,-99,0,-83.0,-4.0,0,4500.0,0.0,,0.0,Microloan,-4
768,380361,Active,-820,0,31069.0,,0,67500.0,0.0,67500.0,0.0,Credit card,-183
